speed_mph,grade_pct,mass_kg,aw_active_kcal_min,n,theory_gross_kcal_min,theory_net_kcal_min,delta_vs_net,percent_error_vs_net,mechanical_W,metabolic_W_measured,metabolic_W_theory_net,efficiency_measured,efficiency_theory_net
1.0,0.0,73.48,1.0,2,2.271354976,0.985454976,0.014545024000000017,1.4759704252586794,0.0,69.78,68.76504822528,0.0,0.0
1.0,0.0,79.38,1.05,2,2.453731056,1.0645810560000002,-0.014581056000000148,-1.3696520258200184,0.0,73.269,74.28646608768001,0.0,0.0
1.0,0.0,89.36,1.25,2,2.7622248320000002,1.1984248320000004,0.051575167999999616,4.303579717547074,0.0,87.225,83.62608477696003,0.0,0.0
1.0,4.0,73.48,1.55,2,2.9808825587200003,1.6949825587200003,-0.1449825587200002,-8.553631302819227,12.8853493871872,108.159,118.27588294748162,0.11913339978353349,0.1089431680075364
1.0,4.0,79.38,1.9,2,3.22022941632,1.8310794163200002,0.06892058367999976,3.763931977265762,13.919965083763199,132.582,127.77272167080962,0.10499136446699552,0.1089431680075364
1.0,4.0,89.36,2.1,2,3.62509071104,2.06129071104,0.038709288960000254,1.8779150729530014,15.6700438383104,146.538,143.8368658163712,0.10693501916438329,0.10894316800753644
1.0,8.0,73.48,2.2,2,3.69041014144,2.4045101414400003,-0.20451014144000013,-8.50527256738972,25.7706987743744,153.51600000000002,167.7867176696832,0.1678697906040699,0.1535920073548874
1.0,8.0,79.38,2.65,2,3.98672777664,2.59757777664,0.0524222233599998,2.01811948929624,27.839930167526397,184.917,181.2589772539392,0.1505536547073898,0.1535920073548874
1.0,8.0,89.36,3.1500000000000004,2,4.48795659008,2.92415659008,0.2258434099200004,7.723369216483093,31.3400876766208,219.80700000000002,204.0476468557824,0.14258002555251106,0.15359200735488743
2.0,0.0,73.48,2.0,2,3.2568099520000002,1.9709099520000002,0.029090047999999813,1.475970425258668,0.0,139.56,137.53009645056002,0.0,0.0
2.0,0.0,79.38,2.0,2,3.518312112,2.129162112,-0.12916211199999994,-6.066335262685716,0.0,139.56,148.57293217536,0.0,0.0
2.0,0.0,89.36,2.8,2,3.9606496640000004,2.3968496640000003,0.4031503359999995,16.820009283652738,0.0,195.384,167.25216955392003,0.0,0.0
2.0,4.0,73.48,3.75,2,4.67586511744,3.38996511744,0.36003488255999994,10.620607294976756,25.7706987743744,261.675,236.5517658949632,0.09848361048772102,0.10894316800753641
2.0,4.0,79.38,3.5,2,5.051308832639999,3.6621588326399994,-0.16215883263999942,-4.427957389360454,27.839930167526397,244.23000000000002,255.54544334161918,0.11399062427845226,0.10894316800753642
2.0,4.0,89.36,3.95,2,5.68638142208,4.122581422080001,-0.17258142208000038,-4.186246538532317,31.3400876766208,275.63100000000003,287.67373163274243,0.11370305835200249,0.10894316800753641
2.0,8.0,73.48,4.1,2,6.09492028288,4.809020282880001,-0.709020282880001,-14.743549437794982,51.5413975487488,286.09799999999996,335.5734353393664,0.18015294601412385,0.1535920073548874
2.0,8.0,79.38,5.65,2,6.58430555328,5.19515555328,0.45484444672000013,8.755165115947888,55.679860335052794,394.257,362.5179545078784,0.1412273221148966,0.1535920073548874
2.0,8.0,89.36,4.55,2,7.41211318016,5.848313180160001,-1.298313180160001,-22.19978889920668,62.6801753532416,317.49899999999997,408.09529371156486,0.1974184969188615,0.1535920073548874
2.0,10.0,80.29,5.62,5,7.4350723888,6.0299973888,-0.4099973887999999,-6.799296290932416,70.397707015328,392.16360000000003,420.773217790464,0.17951106888892288,0.1673055794401452
3.0,0.0,73.48,2.9000000000000004,2,4.242264928,2.956364928,-0.056364927999999814,-1.9065619222499386,0.0,202.36200000000002,206.29514467584002,0.0,0.0
3.0,0.0,79.38,3.35,2,4.582893167999999,3.1937431679999992,0.15625683200000084,4.892592290000975,0.0,233.763,222.85939826303996,0.0,0.0
3.0,0.0,89.36,3.9,2,5.159074495999999,3.595274495999999,0.30472550400000076,8.475722906249015,0.0,272.142,250.87825433087994,0.0,0.0
3.0,4.0,73.48,4.75,2,6.3708476761599995,5.08494767616,-0.33494767615999965,-6.587042728686288,38.6560481615616,331.455,354.8276488424448,0.11662532820914333,0.10894316800753642
3.0,4.0,79.38,5.6,2,6.882388248959998,5.493238248959998,0.1067617510400014,1.943512118015525,41.7598952512896,390.768,383.31816501242866,0.10686621026104902,0.10894316800753645
3.0,4.0,89.36,5.7,2,7.747672133119999,6.1838721331199995,-0.4838721331199993,-7.824743505423475,47.0101315149312,397.74600000000004,431.51059744911356,0.11819133697116048,0.10894316800753644
3.0,5.0,80.29,6.220000000000001,5,7.542750913599999,6.137675913599999,0.08232408640000166,1.3412908657752052,52.798280261496004,434.0316,428.28702525100795,0.12164616645768649,0.12327779537694913
3.0,8.0,73.48,7.1,2,8.49943042432,7.21353042432,-0.11353042432000038,-1.5738538224950036,77.3120963231232,495.438,503.3601530090496,0.1560479743643467,0.1535920073548874
3.0,8.0,79.38,8.3,2,9.181883329919998,7.792733329919998,0.5072666700800026,6.509483240397376,83.5197905025792,579.1740000000001,543.7769317618174,0.1442050066173191,0.15359200735488746
3.0,8.0,80.29,7.7,5,9.28714301536,7.88206801536,-0.1820680153599996,-2.3099016020313288,84.47724841839361,537.306,550.0107061118208,0.15722372059570078,0.15359200735488743
3.0,8.0,89.36,8.649999999999999,2,10.336269770239998,8.772469770239997,-0.12246977023999861,-1.3960694473461615,94.0202630298624,603.5969999999999,612.1429405673471,0.15576661751112486,0.15359200735488746
4.0,0.0,73.48,3.8,2,5.227719904,3.941819904,-0.1418199040000001,-3.597828096004259,0.0,265.164,275.06019290112,0.0,0.0
4.0,0.0,79.38,4.0,2,5.647474224,4.258324224,-0.2583242239999999,-6.066335262685716,0.0,279.12,297.14586435072,0.0,0.0
4.0,0.0,89.36,4.85,2,6.357499328,4.793699328000001,0.056300671999999,1.1744723260206733,0.0,338.433,334.50433910784005,0.0,0.0
4.0,4.0,73.48,6.85,2,8.06583023488,6.77993023488,0.07006976511999952,1.0334879960787635,51.5413975487488,477.993,473.1035317899264,0.10782877060699382,0.10894316800753641
4.0,4.0,79.38,7.199999999999999,2,8.71346766528,7.32431766528,-0.12431766528000043,-1.6973276004850606,55.679860335052794,502.41599999999994,511.0908866832384,0.11082421804849527,0.10894316800753641
4.0,4.0,89.36,8.05,2,9.80896284416,8.24516284416,-0.19516284415999863,-2.3669980550867025,62.6801753532416,561.729,575.3474632654847,0.1115843678237043,0.10894316800753644
4.0,5.0,80.29,8.9,5,9.588642884800002,8.183567884800002,0.7164321151999982,8.754520342290862,70.397707015328,621.042,571.0493670013442,0.11335418057929736,0.12327779537694906
4.0,8.0,73.48,10.149999999999999,2,10.90394056576,9.61804056576,0.5319594342399991,5.53085039102208,103.0827950974976,708.2669999999999,671.1468706787327,0.14554228150894732,0.15359200735488743
4.0,8.0,79.38,9.350000000000001,2,11.77946110656,10.390311106559999,-1.0403111065599973,-10.012319129724512,111.35972067010559,652.4430000000001,725.0359090157567,0.17068114865222797,0.15359200735488743
4.0,8.0,89.36,11.850000000000001,2,13.260426360319999,11.696626360319998,0.1533736396800034,1.3112639059781626,125.3603507064832,826.8930000000001,816.1905874231295,0.15160407780266996,0.15359200735488743
